Gene,Ensembl,Gene description,Uniprot,Pathology prognostics - Pancreatic cancer,TAU score - Tissue
GJB4,ENSG00000189433,Gap junction protein beta 4,['Q9NTQ9'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.24e-5'}",0.89
ZNF185,ENSG00000147394,Zinc finger protein 185 with LIM domain,['O15231'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.30e-5'}",0.55
TMOD3,ENSG00000138594,Tropomodulin 3,['Q9NYL9'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.38e-5'}",0.38
KNSTRN,ENSG00000128944,Kinetochore localized astrin (SPAG5) binding protein,['Q9Y448'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.43e-5'}",0.46
KIF23,ENSG00000137807,Kinesin family member 23,['Q02241'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.69e-5'}",0.69
HMMR,ENSG00000072571,Hyaluronan mediated motility receptor,['O75330'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.71e-5'}",0.72
TOP2A,ENSG00000131747,DNA topoisomerase II alpha,['P11388'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.83e-5'}",0.69
PIK3CB,ENSG00000051382,"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta",['P42338'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.99e-5'}",0.31
SEMA3C,ENSG00000075223,Semaphorin 3C,['Q99985'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.08e-5'}",0.36
SMC4,ENSG00000113810,Structural maintenance of chromosomes 4,['Q9NTJ3'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.20e-5'}",0.49
AK4,ENSG00000162433,Adenylate kinase 4,['P27144'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.34e-5'}",0.52
SLC2A1,ENSG00000117394,Solute carrier family 2 member 1,['P11166'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.39e-5'}",0.52
SHCBP1,ENSG00000171241,SHC binding and spindle associated 1,['Q8NEM2'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.47e-5'}",0.75
UHRF1,ENSG00000276043,Ubiquitin like with PHD and ring finger domains 1,['Q96T88'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.52e-5'}",0.79
RAC1,ENSG00000136238,Rac family small GTPase 1,['P63000'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.57e-5'}",0.14
FGD6,ENSG00000180263,"FYVE, RhoGEF and PH domain containing 6",['Q6ZV73'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.62e-5'}",0.43
FAM83D,ENSG00000101447,Family with sequence similarity 83 member D,['Q9H4H8'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.73e-5'}",0.65
BFAR,ENSG00000103429,Bifunctional apoptosis regulator,['Q9NZS9'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.74e-5'}",0.18
MASTL,ENSG00000120539,Microtubule associated serine/threonine kinase like,['Q96GX5'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.81e-5'}",0.46
DSG2,ENSG00000046604,Desmoglein 2,['Q14126'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.94e-5'}",0.49
TOB1,ENSG00000141232,"Transducer of ERBB2, 1",['P50616'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.04e-5'}",0.23
PKM,ENSG00000067225,Pyruvate kinase M1/2,['P14618'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.17e-5'}",0.31
PDCD10,ENSG00000114209,Programmed cell death 10,['Q9BUL8'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.22e-5'}",0.15
PLAAT2,ENSG00000133328,Phospholipase A and acyltransferase 2,['Q9NWW9'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.27e-5'}",0.85
QSER1,ENSG00000060749,Glutamine and serine rich 1,[],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.27e-5'}",0.26
WASL,ENSG00000106299,WASP like actin nucleation promoting factor,['O00401'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.30e-5'}",0.17
PLEKHA5,ENSG00000052126,Pleckstrin homology domain containing A5,['Q9HAU0'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.41e-5'}",0.33
PNPT1,ENSG00000138035,Polyribonucleotide nucleotidyltransferase 1,['Q8TCS8'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.44e-5'}",0.27
ACTL6A,ENSG00000136518,Actin like 6A,['O96019'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.44e-5'}",0.25
CD2AP,ENSG00000198087,CD2 associated protein,['Q9Y5K6'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.53e-5'}",0.33
PSCA,ENSG00000167653,Prostate stem cell antigen,['O43653'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.60e-5'}",0.79
IQGAP1,ENSG00000140575,IQ motif containing GTPase activating protein 1,['P46940'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.67e-5'}",0.17
CMTM1,ENSG00000089505,CKLF like MARVEL transmembrane domain containing 1,['Q8IZ96'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.68e-5'}",0.80
GBP2,ENSG00000162645,Guanylate binding protein 2,['P32456'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.73e-5'}",0.27
INCENP,ENSG00000149503,Inner centromere protein,['Q9NQS7'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.76e-5'}",0.48
SLC49A4,ENSG00000138463,Solute carrier family 49 member 4,['Q96SL1'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.81e-5'}",0.41
ITGA3,ENSG00000005884,Integrin subunit alpha 3,['P26006'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.95e-5'}",0.35
KCMF1,ENSG00000176407,Potassium channel modulatory factor 1,['Q9P0J7'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.10e-5'}",0.26
CASK,ENSG00000147044,Calcium/calmodulin dependent serine protein kinase,['O14936'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.11e-5'}",0.30
SPRR3,ENSG00000163209,Small proline rich protein 3,['Q9UBC9'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.27e-5'}",0.78
KLK10,ENSG00000129451,Kallikrein related peptidase 10,['O43240'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.46e-5'}",0.75
SRPK1,ENSG00000096063,SRSF protein kinase 1,['Q96SB4'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.53e-5'}",0.28
EREG,ENSG00000124882,Epiregulin,['O14944'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.57e-5'}",0.85
LDLR,ENSG00000130164,Low density lipoprotein receptor,['P01130'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.60e-5'}",0.38
NFE2L3,ENSG00000050344,NFE2 like bZIP transcription factor 3,['Q9Y4A8'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.62e-5'}",0.66
NIP7,ENSG00000132603,Nucleolar pre-rRNA processing protein NIP7,['Q9Y221'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.69e-5'}",0.24
GAREM1,ENSG00000141441,GRB2 associated regulator of MAPK1 subtype 1,['Q9H706'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.73e-5'}",0.53
ZDHHC5,ENSG00000156599,Zinc finger DHHC-type palmitoyltransferase 5,['Q9C0B5'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.74e-5'}",0.18
KRT19,ENSG00000171345,Keratin 19,['P08727'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.82e-5'}",0.41
NOG,ENSG00000183691,Noggin,['Q13253'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.86e-5'}",0.79
C11orf86,ENSG00000173237,Chromosome 11 open reading frame 86,['A6NJI1'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.97e-5'}",0.95
CHMP4C,ENSG00000164695,Charged multivesicular body protein 4C,['Q96CF2'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.99e-5'}",0.49
UACA,ENSG00000137831,Uveal autoantigen with coiled-coil domains and ankyrin repeats,['Q9BZF9'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '7.01e-5'}",0.38
MEAK7,ENSG00000140950,"MTOR associated protein, eak-7 homolog",['Q6P9B6'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '7.05e-5'}",0.37
LAMC2,ENSG00000058085,Laminin subunit gamma 2,['Q13753'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '7.11e-5'}",0.51
MAP3K13,ENSG00000073803,Mitogen-activated protein kinase kinase kinase 13,['O43283'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '7.27e-5'}",0.26
IGF2BP2,ENSG00000073792,Insulin like growth factor 2 mRNA binding protein 2,['Q9Y6M1'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '7.37e-5'}",0.42
RAB10,ENSG00000084733,"RAB10, member RAS oncogene family",['P61026'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '7.37e-5'}",0.28
LSM12,ENSG00000161654,LSM12 homolog,['Q3MHD2'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '7.49e-5'}",0.16
GJB3,ENSG00000188910,Gap junction protein beta 3,['O75712'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '7.56e-5'}",0.79
SPRR1B,ENSG00000169469,Small proline rich protein 1B,['P22528'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '7.64e-5'}",0.81
